country,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e,gfw_forest_carbon_gross_emissions_2024__Mg_CO2e
Argentina,50,23100520,1109473686,288,55719734,102836384,-47116650,27144620.0,21394904.0,35290796.0,63509595.0,61785674.0,59319823.0,64429014.0,105600295.0,55696685.0,79268408.0,89417774.0,93877194.0,69168596.0,48561222.0,35584744.0,45620116.0,52730440.0,35680254.0,32470899.0,39832656.0,52608910.0,62328169.0,55548112.0,50404725.0
Argentina,75,10581387,690927102,364,32775664,48728096,-15952433,20329231.0,17126002.0,25266412.0,41385228.0,42411083.0,40885821.0,39729240.0,63935322.0,34831930.0,47210871.0,47185080.0,52802481.0,37844772.0,26404745.0,20250951.0,24850614.0,28358208.0,17014979.0,15776989.0,19690418.0,32194040.0,36765965.0,28079126.0,26286427.0
Australia,30,42281439,2535843436,378,94305549,205891865,-111586318,29028529.0,37627252.0,60829377.0,37490363.0,40910129.0,46006906.0,78773113.0,50594239.0,61106443.0,49032059.0,44322792.0,46782222.0,73837998.0,81045842.0,70507932.0,123641462.0,88814157.0,76876858.0,330570924.0,563980105.0,97868017.0,54730361.0,59980326.0,58975753.0
Australia,50,25721135,1821141751,439,80295278,156675751,-76380474,21486380.0,25368139.0,48363853.0,33505368.0,34879333.0,39789160.0,62544407.0,44286494.0,57625697.0,38015396.0,40387301.0,40521256.0,62843887.0,66733588.0,57014825.0,105714290.0,76392075.0,63340064.0,269681044.0,513629842.0,85945931.0,47010492.0,45561067.0,46446765.0
Australia,75,17782734,1340697469,474,63626858,122564199,-58937343,18831675.0,21850591.0,42934246.0,29827004.0,30696377.0,34215136.0,55611528.0,37715794.0,52604446.0,34412273.0,36176042.0,34896976.0,47446572.0,52644925.0,46302589.0,83564873.0,60919791.0,48707898.0,181675278.0,394603774.0,71645074.0,38900471.0,34970620.0,35890609.0
Austria,30,4340284,361850327,264,9540658,29515919,-19975261,2818397.0,4520374.0,5832968.0,6372935.0,10062337.0,6095637.0,15522594.0,13428539.0,7816089.0,8052753.0,9353109.0,5718173.0,3860429.0,4980972.0,4201960.0,9321415.0,10003734.0,14985244.0,18607137.0,14782590.0,9316885.0,11345239.0,15737155.0,16239120.0
Austria,50,4118613,354215031,278,9479720,27987462,-18507740,2801515.0,4492536.0,5792031.0,6334963.0,10010641.0,6070624.0,15443312.0,13375236.0,7783529.0,8007043.0,9317692.0,5686196.0,3815359.0,4924505.0,4176215.0,9259926.0,9931009.0,14894836.0,18470373.0,14694101.0,9250808.0,11243106.0,15624396.0,16113341.0
Austria,75,3397355,315041909,297,8896556,22955708,-14059150,2639491.0,4250545.0,5500626.0,6007236.0,9524562.0,5827187.0,14721852.0,12894827.0,7479220.0,7632501.0,8925977.0,5422682.0,3428870.0,4417604.0,3864230.0,8618555.0,9213031.0,13850647.0,16990031.0,13671767.0,8575995.0,10382354.0,14621985.0,15055593.0
Azerbaijan,30,1268606,68892420,208,102688,4353135,-4250447,165142.0,319691.0,335073.0,158080.0,67954.0,147994.0,144451.0,133122.0,109954.0,163045.0,43076.0,174782.0,43803.0,64768.0,5170.0,8249.0,22639.0,23997.0,4112.0,7822.0,36247.0,65522.0,152730.0,67105.0
Azerbaijan,50,1113388,63653574,222,95659,3891949,-3796290,153406.0,303400.0,324841.0,139543.0,60112.0,137150.0,134411.0,125808.0,99471.0,145102.0,38634.0,160528.0,40240.0,59838.0,5038.0,8001.0,22372.0,23997.0,3582.0,7530.0,34439.0,64617.0,141542.0,62213.0
Azerbaijan,75,819511,50693267,241,73951,2913403,-2839451,122032.0,235836.0,276399.0,98489.0,42677.0,108845.0,99499.0,97555.0,74971.0,104430.0,28715.0,114320.0,27266.0,38169.0,4875.0,7321.0,21024.0,19805.0,2278.0,5780.0,31357.0,57898.0,109772.0,45500.0
Bangladesh,30,1938958,174161109,451,6341158,19314139,-12972982,2569187.0,2132369.0,1150527.0,2221651.0,1832932.0,3714656.0,2127382.0,2406487.0,3077047.0,2470270.0,2278773.0,3085807.0,3418204.0,6833399.0,7242216.0,12336332.0,16716432.0,11266517.0,12778277.0,12428756.0,10535021.0,8289251.0,11274906.0,10001405.0
Bangladesh,50,1522871,146089133,475,6023474,17908689,-11885216,2542717.0,2092902.0,1129720.0,2154289.0,1800248.0,3610043.0,2048285.0,2323236.0,2982539.0,2383642.0,2211189.0,2997366.0,3227160.0,6454358.0,6787900.0,11600497.0,15804777.0,10572169.0,12089159.0,11727499.0,9946927.0,7802748.0,10718568.0,9555423.0
Bangladesh,75,685582,74513975,505,4123926,14993357,-10869432,2285156.0,1797668.0,965079.0,1677282.0,1548735.0,2889734.0,1589547.0,1806433.0,2321550.0,1792197.0,1785806.0,2434750.0,2150878.0,4215443.0,4433860.0,7575779.0,10423016.0,6743711.0,7755933.0,7519835.0,6416382.0,5010697.0,7308768.0,6525987.0
Belarus,30,9118583,435669121,206,17944990,64349173,-46404183,5007433.0,6925244.0,9224718.0,11515344.0,11120548.0,13168499.0,10320371.0,11616363.0,11874896.0,12236557.0,16012531.0,14166029.0,10028055.0,12209439.0,12237392.0,33321011.0,29592553.0,33405609.0,29058114.0,27661105.0,26159880.0,27191775.0,25483692.0,31142583.0
Belarus,50,8384055,427106444,230,17663153,59978337,-42315184,4953100.0,6830343.0,9094894.0,11397701.0,11019087.0,13052896.0,10233092.0,11539088.0,11791259.0,12163172.0,15923381.0,14075806.0,9885998.0,12055615.0,12045285.0,32428865.0,28863067.0,32448688.0,28475211.0,27171945.0,25805038.0,26813309.0,25124300.0,30724531.0
Belarus,75,5798098,329426741,271,13890114,42799704,-28909589,4420640.0,5944187.0,7793232.0,10012823.0,9796963.0,11590857.0,9155968.0,10490688.0,10747935.0,11090099.0,14551174.0,12841935.0,7660508.0,9655623.0,9593931.0,24188931.0,20202546.0,20306124.0,19890105.0,19882177.0,19664263.0,20997428.0,19201065.0,23683541.0
Belgium,30,865425,76114279,368,2779887,5662146,-2882258,424998.0,1096450.0,907259.0,2301053.0,1469665.0,3470613.0,3052387.0,3658524.0,2673404.0,5675384.0,2701125.0,3090068.0,1841304.0,2341941.0,1898962.0,2485458.0,2272095.0,2596945.0,3124914.0,3119756.0,5404048.0,2872891.0,4564032.0,3674053.0
Belgium,50,778289,72706046,411,2744538,5013615,-2269079,417437.0,1088628.0,898175.0,2276357.0,1449903.0,3444402.0,3028552.0,3628813.0,2650232.0,5634417.0,2686297.0,3075926.0,1826401.0,2318723.0,1876669.0,2439591.0,2226052.0,2542909.0,3054506.0,3059723.0,5332419.0,2814473.0,4492711.0,3605588.0
Belgium,75,576914,58762884,470,2480009,3608978,-1128969,355003.0,987253.0,822915.0,2062317.0,1298004.0,3140936.0,2805038.0,3329491.0,2446401.0,5197645.0,2549502.0,2952104.0,1714976.0,2130663.0,1685534.0,2151387.0,1962128.0,2225138.0,2615471.0,2657735.0,4779873.0,2484724.0,3987785.0,3178210.0
Belize,30,1755302,155427616,188,6405342,4931433,1473908,3485151.53419505,6139217.64721961,3094309.2622301,1915829.5774384,3690837.26249727,1971486.36658137,5241224.85350656,3924536.48746153,4706921.52291861,4620258.7403824,11808341.7532038,5428104.89984893,7861522.28668279,7770840.09548982,5854013.58357085,10121502.4108858,7675442.89487424,5290178.01228623,8598565.57951177,11858142.2845156,4499449.11983723,4084507.0518537,10073678.5921319,14014156.4126444
Belize,50,1667397,154205097,197,6352271,4699859,1652411,3469221.11615314,6089624.64499417,3076754.00155936,1899592.78013257,3671425.48382392,1957520.55566011,5207343.66233116,3905850.89961655,4688652.9958815,4604733.75554599,11773320.1677416,5409153.18762537,7828551.77288632,7707516.65319025,5806723.08391951,10057949.8596034,7535628.25071431,5214105.34541304,8398700.00964804,11794721.0332925,4446206.57391664,4036162.82633551,9950611.45265146,13924438.0548071
Belize,75,1575027,151317448,204,6192232,4294573,1897658,3405702.3122492,5908087.56046708,3003279.20164163,1843059.81443212,3571197.52329044,1904743.2216706,5046681.74814534,3830783.53677657,4600116.67539938,4530421.80354231,11641815.1398091,5334892.92990524,7715461.54754207,7516584.49385525,5674521.02424943,9865244.53880126,7124298.55984742,4991842.91292223,7977971.57058032,11616336.70082,4291873.75555098,3901134.75222461,9621442.12392655,13696091.5144942
Benin,30,168201,9637617,220,866251,1804074,-937824,1167877.0,988659.0,1011878.0,184569.0,510576.0,513708.0,1489948.0,154163.0,1581156.0,169770.0,237805.0,1062645.0,503975.0,599702.0,271150.0,941806.0,959187.0,803021.0,339924.0,815004.0,1606324.0,1587060.0,1896145.0,1393969.0
Benin,50,8986,574344,255,314640,1265684,-951043,675108.0,419758.0,319798.0,43601.0,98203.0,122227.0,330594.0,36274.0,314543.0,41185.0,48795.0,256302.0,79559.0,149347.0,59927.0,199664.0,142375.0,136372.0,53412.0,223088.0,975695.0,958784.0,972441.0,894329.0
Benin,75,841,74189,274,229174,1249199,-1020025,201055.0,178201.0,108356.0,7773.0,27289.0,18512.0,68877.0,7928.0,72433.0,5911.0,9641.0,55058.0,69358.0,141265.0,56718.0,171466.0,126529.0,129163.0,50614.0,216573.0,968880.0,952369.0,965077.0,891113.0
Bhutan,30,2577237,356932855,667,632789,1558410,-925621,170405.0,128275.0,283425.0,610045.0,467911.0,361687.0,297023.0,440656.0,689714.0,2471316.0,585372.0,442246.0,254860.0,708688.0,387132.0,1091976.0,993780.0,589311.0,433791.0,705977.0,694378.0,703561.0,988622.0,686784.0
Bhutan,50,2366476,337457072,688,581124,1199761,-618636,163996.0,123305.0,260908.0,576568.0,444990.0,341967.0,282731.0,422033.0,662306.0,2286686.0,539991.0,415110.0,226282.0,656938.0,346564.0,989063.0,898842.0,516959.0,389454.0,633816.0,606694.0,635565.0,897631.0,628583.0
Bhutan,75,1664057,256407380,749,385744,339442,46305,134048.0,105362.0,166071.0,424984.0,347680.0,261750.0,207836.0,336368.0,534986.0,1466050.0,417253.0,333536.0,143369.0,449672.0,208161.0,589870.0,544706.0,288324.0,217063.0,382109.0,332104.0,372362.0,613625.0,380587.0
Bolivia,30,64556285,5429871838,365,157511154,177523106,-20011953,63768188.0,79813514.0,78909530.0,88552887.0,113865911.0,97631027.0,89498861.0,153620827.0,96069853.0,177535932.0,131536166.0,120352346.0,77542863.0,114524482.0,71376216.0,192737881.0,198614295.0,133084363.0,246068783.0,158918668.0,196891091.0,254657109.0,264836557.0,579860361.0
Bolivia,50,57513241,5267973696,418,152322576,147405287,4917288,62763465.0,78464155.0,77995867.0,86408960.0,111413416.0,95635378.0,88298232.0,148982131.0,93422671.0,173932722.0,128179239.0,117342724.0,73919465.0,110210545.0,67877408.0,184122068.0,190212156.0,126287984.0,232457494.0,152268077.0,188122218.0,243713286.0,255569725.0,568142434.0
Bolivia,75,47856733,4845242674,480,131880238,105778519,26101720,58687008.0,72904487.0,73699117.0,78861674.0,103349808.0,87758489.0,82529229.0,128923310.0,81245592.0,155856236.0,111265283.0,107390574.0,61414624.0,93873802.0,52939023.0,144878623.0,158157863.0,99243248.0,171030608.0,129841645.0,152417408.0,208052528.0,225515759.0,525289811.0
Bosnia and Herzegovina,30,2657980,216504615,235,815772,27664405,-26848634,501473.0,273222.0,119165.0,1661657.0,262728.0,245340.0,827391.0,654329.0,585932.0,457032.0,437798.0,969455.0,1049020.0,926893.0,300505.0,1278595.0,663282.0,1475387.0,716583.0,948580.0,567773.0,1076419.0,2237980.0,1341979.0
Bosnia and Herzegovina,50,2477206,210985877,247,790331,26121234,-25330903,489491.0,262176.0,114892.0,1613630.0,257436.0,238214.0,769373.0,625958.0,569164.0,447654.0,427823.0,926330.0,1008441.0,911698.0,293637.0,1254373.0,636530.0,1434930.0,701025.0,923440.0,550246.0,1038490.0,2164885.0,1308096.0
Bosnia and Herzegovina,75,2054728,187906082,268,687963,22156642,-21468679,420422.0,230541.0,100816.0,1391875.0,229858.0,210041.0,561153.0,506213.0,481138.0,393420.0,375590.0,773505.0,844887.0,827154.0,256926.0,1143315.0,559432.0,1298089.0,616775.0,820022.0,485491.0,900268.0,1914468.0,1169714.0
Botswana,30,20328,589049,120,4511,110698,-106187,26251.0,4062.0,1660.0,9593.0,8974.0,7806.0,7178.0,5162.0,8779.0,7014.0,4420.0,3438.0,3809.0,4053.0,51.0,218.0,318.0,685.0,18.0,445.0,572.0,1730.0,1020.0,1003.0
Botswana,50,1278,67196,222,854,41057,-40204,9764.0,554.0,230.0,962.0,501.0,911.0,1750.0,1008.0,583.0,321.0,104.0,225.0,387.0,375.0,51.0,32.0,30.0,51.0,0.0,79.0,282.0,1292.0,371.0,637.0
Botswana,75,22,1964,173,260,36522,-36261,1578.0,328.0,77.0,299.0,202.0,76.0,366.0,10.0,122.0,65.0,50.0,16.0,270.0,179.0,51.0,32.0,30.0,0.0,0.0,35.0,282.0,1274.0,343.0,558.0
Brazil,30,519056656,55568867372,525,1589982066,1755323094,-165341031,1221138974.0,1655445015.0,1514612804.0,1915734936.0,1837203777.0,1471021700.0,1273228936.0,1241345048.0,930771045.0,1337904984.0,989479015.0,1458966082.0,988672290.0,1422902204.0,1244682472.0,2631722303.0,2334531068.0,1718707376.0,1532889289.0,1680953959.0,1868490743.0,2082946160.0,1693710500.0,2112508857.0
Brazil,50,475559754,54293608200,575,1505721197,1517136228,-11415031,1184451099.0,1613958947.0,1465348864.0,1859166990.0,1791766260.0,1419225449.0,1214014249.0,1182877717.0,877898840.0,1260765421.0,932268925.0,1359808662.0,919681491.0,1319206112.0,1156990165.0,2501097566.0,2211695920.0,1618771276.0,1432037578.0,1567852802.0,1759138440.0,1954310676.0,1539605940.0,1995369380.0
Brazil,75,429108384,52407542011,620,1365227645,1260280442,104947202,1091706988.0,1509434968.0,1357926863.0,1740892922.0,1687344784.0,1322242315.0,1100270606.0,1085014883.0,795961739.0,1135921195.0,841711541.0,1201101189.0,811964884.0,1150870704.0,1016013040.0,2284492097.0,1986044958.0,1454139425.0,1277977132.0,1388984412.0,1598470513.0,1770381682.0,1336264832.0,1820329804.0
Brunei,30,529333,79494242,573,893028,1182322,-289294,823190.0,731591.0,533836.0,800676.0,839874.0,675394.0,978208.0,929243.0,1416206.0,687134.0,1960883.0,1278920.0,600225.0,1441070.0,1094465.0,1629001.0,646544.0,526336.0,706138.0,737967.0,634880.0,609429.0,599126.0,552345.0
Brunei,50,523730,79214814,579,884479,1155040,-270561,819203.0,729358.0,531411.0,798384.0,837387.0,672065.0,972900.0,926870.0,1413347.0,685526.0,1956823.0,1274787.0,595942.0,1422662.0,1071043.0,1595182.0,638687.0,518036.0,688035.0,720914.0,629199.0,602439.0,589845.0,537445.0
Brunei,75,507839,78221398,593,843299,1081263,-237963,791444.0,709583.0,514265.0,780988.0,811355.0,653277.0,942484.0,908045.0,1386757.0,670584.0,1934674.0,1249971.0,577232.0,1357886.0,934077.0,1424268.0,606500.0,488517.0,612554.0,651554.0,604652.0,575463.0,560856.0,492192.0
Bulgaria,30,4138949,250132617,283,2563764,39613937,-37050173,2110235.0,1287763.0,1710602.0,2759951.0,2411821.0,1860207.0,3350101.0,2475583.0,2370292.0,1482068.0,1399266.0,3962712.0,1568488.0,2971751.0,3325135.0,3509366.0,3456949.0,4703441.0,2005999.0,2304900.0,3281640.0,2046166.0,2843078.0,2332837.0
Bulgaria,50,3858692,243267038,299,2512417,37201110,-34688693,2064514.0,1260823.0,1687344.0,2725933.0,2391752.0,1836748.0,3309629.0,2438098.0,2351297.0,1472550.0,1381732.0,3926559.0,1542347.0,2922932.0,3264048.0,3431263.0,3333674.0,4578805.0,1953527.0,2233197.0,3217330.0,1979503.0,2755656.0,2238750.0
Bulgaria,75,3198281,214674703,321,2235712,31346506,-29110792,1835645.0,1137194.0,1545707.0,2537517.0,2253562.0,1703034.0,3065689.0,2222277.0,2219250.0,1414076.0,1301267.0,3722114.0,1354444.0,2586219.0,2856596.0,3004056.0,2810343.0,3959354.0,1677101.0,1877204.0,2822318.0,1622650.0,2295261.0,1834212.0
Burkina Faso,30,130,6363,206,36205,628363,-592157,286271.0,164809.0,798.0,35839.0,25598.0,6347.0,9114.0,20973.0,5189.0,19866.0,8423.0,4636.0,8312.0,10479.0,3276.0,1472.0,2345.0,1099.0,995.0,7470.0,43860.0,51680.0,57935.0,92147.0
Burkina Faso,50,5,313,116,34809,628303,-593494,271131.0,163692.0,418.0,33904.0,21564.0,5299.0,8296.0,19610.0,3883.0,17905.0,4156.0,4546.0,8241.0,10479.0,3276.0,1472.0,2345.0,1099.0,995.0,7470.0,43860.0,51680.0,57935.0,92147.0
Burkina Faso,75,0,0,0,34739,628300,-593561,270964.0,163692.0,247.0,33522.0,21050.0,5028.0,8296.0,19610.0,3883.0,17905.0,3979.0,4546.0,8241.0,10479.0,3276.0,1472.0,2345.0,1099.0,995.0,7470.0,43860.0,51680.0,57935.0,92147.0
Burundi,30,537671,25043679,166,744737,2295155,-1550418,506023.0,326416.0,519836.0,212642.0,360242.0,122262.0,703181.0,727252.0,332421.0,764190.0,402438.0,340548.0,563120.0,887938.0,672453.0,761955.0,887930.0,1500952.0,1279433.0,1101856.0,1449770.0,998825.0,1168417.0,1283610.0
Burundi,50,140708,10756702,267,358525,640119,-281593,384817.0,207259.0,385168.0,132341.0,218270.0,73937.0,436310.0,415536.0,193522.0,522775.0,261028.0,170703.0,178472.0,407881.0,282737.0,324275.0,371082.0,557318.0,511014.0,462310.0,695619.0,434932.0,495330.0,481981.0
Burundi,75,21997,2703973,491,116803,190872,-74071,97023.0,37457.0,103562.0,30688.0,48947.0,16305.0,94161.0,73919.0,54950.0,110304.0,65943.0,32977.0,37061.0,69321.0,78052.0,98607.0,136485.0,232005.0,199554.0,231890.0,350523.0,216322.0,202031.0,185165.0
Cambodia,30,8828152,928387019,462,72742189,26232534,46509655,15120620.0,28672968.0,29032871.0,42719329.0,35472631.0,45321707.0,43594388.0,50002805.0,70152272.0,137098765.0,123274406.0,122034813.0,126084801.0,104128186.0,82696854.0,110155313.0,70679323.0,66041995.0,82383749.0,83345068.0,86233906.0,62711158.0,71919516.0,56935090.0
Cambodia,50,7499388,823414281,476,66570095,21734091,44836003,14054797.0,25375336.0,26739367.0,40390767.0,33959786.0,43675258.0,41724018.0,48654864.0,67253508.0,131240671.0,119787119.0,115350686.0,118123902.0,93718317.0,75091221.0,100373147.0,62545315.0,56421324.0,71432592.0,73149339.0,76211474.0,54782362.0,59667100.0,47960014.0
Cambodia,75,5857281,677289584,496,54372673,16420405,37952268,10413372.0,14144603.0,16244465.0,28622950.0,26116246.0,36469006.0,34192152.0,42671868.0,55477450.0,105853667.0,109495634.0,102376419.0,105888354.0,79439882.0,63271594.0,82454168.0,49514270.0,42911367.0,55661385.0,57382070.0,60541865.0,43139566.0,45841834.0,36819951.0
Cameroon,30,31459321,3442060471,570,56903819,117496639,-60592820,20479543.0,15552292.0,14124184.0,12466303.0,13986089.0,19441334.0,25270220.0,19660730.0,21801316.0,32837725.0,16076358.0,29484620.0,50274556.0,110422008.0,48524191.0,72566306.0,111775356.0,76051377.0,74319770.0,133509584.0,106351349.0,95149663.0,128445742.0,117121017.0
Cameroon,50,25260665,3161488140,630,52662531,94144119,-41481588,19150774.0,14533054.0,13420345.0,11583386.0,13147207.0,17873929.0,22972388.0,17742493.0,20798936.0,30474109.0,14901847.0,27345264.0,46114987.0,101571034.0,45358477.0,67947961.0,102209259.0,69921121.0,67480618.0,125516169.0,99433172.0,87886598.0,119280068.0,107237542.0
Cameroon,75,17481724,2553407605,762,31850844,59781311,-27930467,13558613.0,9531677.0,9359105.0,7826790.0,8808507.0,11226817.0,15444820.0,12483141.0,15655506.0,16627323.0,9198439.0,16934569.0,27486634.0,60270315.0,27525593.0,40933725.0,53847498.0,41514511.0,35922027.0,78348838.0,59051861.0,54541426.0,68672990.0,69649524.0
Canada,30,418066874,13223801868,180,1019424298,1012085912,7338385,418315291.0,834397891.0,553484853.0,905185099.0,954917690.0,833450400.0,758860175.0,707090537.0,502148821.0,749339144.0,870144033.0,1077949578.0,1035903765.0,1028644200.0,1173449692.0,839688890.0,1023707376.0,821762301.0,890763285.0,370210212.0,1022235435.0,906638813.0,3791767078.0,2396128609.0
