country,threshold,driver,year,tc_loss_ha
Angola,30,Permanent agriculture,2014,129491.0
Angola,30,Permanent agriculture,2015,95852.0
Angola,30,Permanent agriculture,2016,145051.0
Angola,30,Permanent agriculture,2017,181998.0
Angola,30,Permanent agriculture,2018,151605.0
Angola,30,Permanent agriculture,2019,116946.0
Angola,30,Permanent agriculture,2020,180764.0
Angola,30,Permanent agriculture,2021,190747.0
Angola,30,Permanent agriculture,2022,190331.0
Angola,30,Permanent agriculture,2023,185104.0
Angola,30,Permanent agriculture,2024,205032.0
Angola,30,Settlements & Infrastructure,2001,949.0
Angola,30,Settlements & Infrastructure,2002,570.0
Angola,30,Settlements & Infrastructure,2003,695.0
Angola,30,Settlements & Infrastructure,2004,841.0
Angola,30,Settlements & Infrastructure,2005,958.0
Angola,30,Settlements & Infrastructure,2006,502.0
Angola,30,Settlements & Infrastructure,2007,1370.0
Angola,30,Settlements & Infrastructure,2008,674.0
Angola,30,Settlements & Infrastructure,2009,1520.0
Angola,30,Settlements & Infrastructure,2010,1919.0
Angola,30,Settlements & Infrastructure,2011,1044.0
Angola,30,Settlements & Infrastructure,2012,1627.0
Angola,30,Settlements & Infrastructure,2013,930.0
Angola,30,Settlements & Infrastructure,2014,1110.0
Angola,30,Settlements & Infrastructure,2015,765.0
Angola,30,Settlements & Infrastructure,2016,795.0
Angola,30,Settlements & Infrastructure,2017,959.0
Angola,30,Settlements & Infrastructure,2018,475.0
Angola,30,Settlements & Infrastructure,2019,295.0
Angola,30,Settlements & Infrastructure,2020,280.0
Angola,30,Settlements & Infrastructure,2021,381.0
Angola,30,Settlements & Infrastructure,2022,288.0
Angola,30,Settlements & Infrastructure,2023,446.0
Angola,30,Settlements & Infrastructure,2024,365.0
Angola,30,Shifting cultivation,2001,34717.0
Angola,30,Shifting cultivation,2002,17893.0
Angola,30,Shifting cultivation,2003,16032.0
Angola,30,Shifting cultivation,2004,17313.0
Angola,30,Shifting cultivation,2005,23662.0
Angola,30,Shifting cultivation,2006,15913.0
Angola,30,Shifting cultivation,2007,40030.0
Angola,30,Shifting cultivation,2008,21608.0
Angola,30,Shifting cultivation,2009,32059.0
Angola,30,Shifting cultivation,2010,42220.0
Angola,30,Shifting cultivation,2011,32960.0
Angola,30,Shifting cultivation,2012,37842.0
Angola,30,Shifting cultivation,2013,50163.0
Angola,30,Shifting cultivation,2014,70241.0
Angola,30,Shifting cultivation,2015,58053.0
Angola,30,Shifting cultivation,2016,77625.0
Angola,30,Shifting cultivation,2017,88514.0
Angola,30,Shifting cultivation,2018,85658.0
Angola,30,Shifting cultivation,2019,54348.0
Angola,30,Shifting cultivation,2020,62820.0
Angola,30,Shifting cultivation,2021,101731.0
Angola,30,Shifting cultivation,2022,71935.0
Angola,30,Shifting cultivation,2023,75926.0
Angola,30,Shifting cultivation,2024,68657.0
Angola,30,Wildfire,2001,452.0
Angola,30,Wildfire,2002,490.0
Angola,30,Wildfire,2003,279.0
Angola,30,Wildfire,2004,467.0
Angola,30,Wildfire,2005,499.0
Angola,30,Wildfire,2006,382.0
Angola,30,Wildfire,2007,361.0
Angola,30,Wildfire,2008,1062.0
Angola,30,Wildfire,2009,444.0
Angola,30,Wildfire,2010,1092.0
Angola,30,Wildfire,2011,479.0
Angola,30,Wildfire,2012,1343.0
Angola,30,Wildfire,2013,2339.0
Angola,30,Wildfire,2014,1364.0
Angola,30,Wildfire,2015,2968.0
Angola,30,Wildfire,2016,1571.0
Angola,30,Wildfire,2017,2441.0
Angola,30,Wildfire,2018,356.0
Angola,30,Wildfire,2019,279.0
Angola,30,Wildfire,2020,573.0
Angola,30,Wildfire,2021,1311.0
Angola,30,Wildfire,2022,850.0
Angola,30,Wildfire,2023,2137.0
Angola,30,Wildfire,2024,4147.0
Åland,30,Hard commodities,2010,0.0
Åland,30,Logging,2001,372.0
Åland,30,Logging,2002,268.0
Åland,30,Logging,2003,204.0
Åland,30,Logging,2004,717.0
Åland,30,Logging,2005,666.0
Åland,30,Logging,2006,96.0
Åland,30,Logging,2007,238.0
Åland,30,Logging,2008,1251.0
Åland,30,Logging,2009,652.0
Åland,30,Logging,2010,584.0
Åland,30,Logging,2011,449.0
Åland,30,Logging,2012,629.0
Åland,30,Logging,2013,494.0
Åland,30,Logging,2014,529.0
Åland,30,Logging,2015,563.0
Åland,30,Logging,2016,642.0
Åland,30,Logging,2017,719.0
Åland,30,Logging,2018,601.0
Åland,30,Logging,2019,2329.0
Åland,30,Logging,2020,655.0
Åland,30,Logging,2021,1331.0
Åland,30,Logging,2022,1150.0
Åland,30,Logging,2023,1086.0
Åland,30,Logging,2024,943.0
Åland,30,Permanent agriculture,2001,7.0
Åland,30,Permanent agriculture,2002,0.0
Åland,30,Permanent agriculture,2003,2.0
Åland,30,Permanent agriculture,2004,6.0
Åland,30,Permanent agriculture,2005,8.0
Åland,30,Permanent agriculture,2007,4.0
Åland,30,Permanent agriculture,2008,14.0
Åland,30,Permanent agriculture,2009,13.0
Åland,30,Permanent agriculture,2010,25.0
Åland,30,Permanent agriculture,2011,3.0
Åland,30,Permanent agriculture,2012,1.0
Åland,30,Permanent agriculture,2013,8.0
Åland,30,Permanent agriculture,2014,4.0
Åland,30,Permanent agriculture,2015,1.0
Åland,30,Permanent agriculture,2016,8.0
Åland,30,Permanent agriculture,2017,7.0
Åland,30,Permanent agriculture,2018,5.0
Åland,30,Permanent agriculture,2019,15.0
Åland,30,Permanent agriculture,2020,9.0
Åland,30,Permanent agriculture,2021,13.0
Åland,30,Permanent agriculture,2022,6.0
Åland,30,Permanent agriculture,2023,2.0
Åland,30,Permanent agriculture,2024,1.0
Åland,30,Settlements & Infrastructure,2001,9.0
Åland,30,Settlements & Infrastructure,2002,7.0
Åland,30,Settlements & Infrastructure,2003,8.0
Åland,30,Settlements & Infrastructure,2004,8.0
Åland,30,Settlements & Infrastructure,2005,20.0
Åland,30,Settlements & Infrastructure,2006,0.0
Åland,30,Settlements & Infrastructure,2007,0.0
Åland,30,Settlements & Infrastructure,2008,19.0
Åland,30,Settlements & Infrastructure,2009,6.0
Åland,30,Settlements & Infrastructure,2010,19.0
Åland,30,Settlements & Infrastructure,2011,10.0
Åland,30,Settlements & Infrastructure,2012,20.0
Åland,30,Settlements & Infrastructure,2013,6.0
Åland,30,Settlements & Infrastructure,2014,15.0
Åland,30,Settlements & Infrastructure,2015,2.0
Åland,30,Settlements & Infrastructure,2016,20.0
Åland,30,Settlements & Infrastructure,2017,5.0
Åland,30,Settlements & Infrastructure,2018,12.0
Åland,30,Settlements & Infrastructure,2019,13.0
Åland,30,Settlements & Infrastructure,2020,7.0
Åland,30,Settlements & Infrastructure,2021,9.0
Åland,30,Settlements & Infrastructure,2022,8.0
Åland,30,Settlements & Infrastructure,2023,3.0
Åland,30,Settlements & Infrastructure,2024,5.0
Åland,30,Wildfire,2001,0.0
Åland,30,Wildfire,2002,0.0
Åland,30,Wildfire,2003,1.0
Åland,30,Wildfire,2004,1.0
Åland,30,Wildfire,2005,0.0
Åland,30,Wildfire,2006,1.0
Åland,30,Wildfire,2007,4.0
Åland,30,Wildfire,2008,0.0
Åland,30,Wildfire,2009,1.0
Åland,30,Wildfire,2010,0.0
Åland,30,Wildfire,2011,0.0
Åland,30,Wildfire,2012,0.0
Åland,30,Wildfire,2014,0.0
Åland,30,Wildfire,2016,0.0
Åland,30,Wildfire,2017,1.0
Åland,30,Wildfire,2019,0.0
Åland,30,Wildfire,2020,0.0
Åland,30,Wildfire,2021,0.0
Åland,30,Wildfire,2022,0.0
Albania,30,Hard commodities,2001,30.0
Albania,30,Hard commodities,2002,11.0
Albania,30,Hard commodities,2003,5.0
Albania,30,Hard commodities,2004,25.0
Albania,30,Hard commodities,2005,12.0
Albania,30,Hard commodities,2006,6.0
Albania,30,Hard commodities,2007,63.0
Albania,30,Hard commodities,2008,50.0
Albania,30,Hard commodities,2009,27.0
Albania,30,Hard commodities,2010,29.0
Albania,30,Hard commodities,2011,26.0
Albania,30,Hard commodities,2012,21.0
Albania,30,Hard commodities,2013,40.0
Albania,30,Hard commodities,2014,28.0
Albania,30,Hard commodities,2015,25.0
Albania,30,Hard commodities,2016,35.0
Albania,30,Hard commodities,2017,39.0
Albania,30,Hard commodities,2018,38.0
Albania,30,Hard commodities,2019,41.0
Albania,30,Hard commodities,2020,37.0
Albania,30,Hard commodities,2021,30.0
Albania,30,Hard commodities,2022,25.0
Albania,30,Hard commodities,2023,30.0
Albania,30,Hard commodities,2024,18.0
Albania,30,Logging,2001,1079.0
Albania,30,Logging,2002,474.0
Albania,30,Logging,2003,164.0
Albania,30,Logging,2004,1232.0
Albania,30,Logging,2005,274.0
Albania,30,Logging,2006,391.0
Albania,30,Logging,2007,576.0
Albania,30,Logging,2008,990.0
Albania,30,Logging,2009,554.0
Albania,30,Logging,2010,306.0
Albania,30,Logging,2011,268.0
Albania,30,Logging,2012,821.0
Albania,30,Logging,2013,320.0
Albania,30,Logging,2014,390.0
Albania,30,Logging,2015,136.0
Albania,30,Logging,2016,294.0
Albania,30,Logging,2017,296.0
Albania,30,Logging,2018,362.0
Albania,30,Logging,2019,415.0
Albania,30,Logging,2020,360.0
Albania,30,Logging,2021,361.0
Albania,30,Logging,2022,300.0
Albania,30,Logging,2023,572.0
Albania,30,Logging,2024,228.0
Albania,30,Other natural disturbances,2001,55.0
Albania,30,Other natural disturbances,2002,10.0
Albania,30,Other natural disturbances,2003,8.0
Albania,30,Other natural disturbances,2004,44.0
Albania,30,Other natural disturbances,2005,6.0
Albania,30,Other natural disturbances,2006,11.0
Albania,30,Other natural disturbances,2007,41.0
Albania,30,Other natural disturbances,2008,52.0
Albania,30,Other natural disturbances,2009,15.0
Albania,30,Other natural disturbances,2010,10.0
Albania,30,Other natural disturbances,2011,6.0
Albania,30,Other natural disturbances,2012,68.0
Albania,30,Other natural disturbances,2013,95.0
Albania,30,Other natural disturbances,2014,28.0
Albania,30,Other natural disturbances,2015,2.0
Albania,30,Other natural disturbances,2016,11.0
Albania,30,Other natural disturbances,2017,12.0
Albania,30,Other natural disturbances,2018,32.0
Albania,30,Other natural disturbances,2019,34.0
Albania,30,Other natural disturbances,2020,30.0
Albania,30,Other natural disturbances,2021,16.0
Albania,30,Other natural disturbances,2022,19.0
Albania,30,Other natural disturbances,2023,23.0
Albania,30,Other natural disturbances,2024,6.0
Albania,30,Permanent agriculture,2001,368.0
Albania,30,Permanent agriculture,2002,66.0
Albania,30,Permanent agriculture,2003,65.0
Albania,30,Permanent agriculture,2004,425.0
Albania,30,Permanent agriculture,2005,104.0
Albania,30,Permanent agriculture,2006,160.0
Albania,30,Permanent agriculture,2007,544.0
Albania,30,Permanent agriculture,2008,286.0
Albania,30,Permanent agriculture,2009,142.0
Albania,30,Permanent agriculture,2010,54.0
Albania,30,Permanent agriculture,2011,79.0
Albania,30,Permanent agriculture,2012,633.0
Albania,30,Permanent agriculture,2013,104.0
Albania,30,Permanent agriculture,2014,88.0
Albania,30,Permanent agriculture,2015,28.0
Albania,30,Permanent agriculture,2016,38.0
Albania,30,Permanent agriculture,2017,47.0
Albania,30,Permanent agriculture,2018,48.0
Albania,30,Permanent agriculture,2019,40.0
Albania,30,Permanent agriculture,2020,42.0
Albania,30,Permanent agriculture,2021,31.0
Albania,30,Permanent agriculture,2022,29.0
Albania,30,Permanent agriculture,2023,97.0
Albania,30,Permanent agriculture,2024,28.0
Albania,30,Settlements & Infrastructure,2001,37.0
Albania,30,Settlements & Infrastructure,2002,12.0
Albania,30,Settlements & Infrastructure,2003,8.0
Albania,30,Settlements & Infrastructure,2004,45.0
Albania,30,Settlements & Infrastructure,2005,11.0
Albania,30,Settlements & Infrastructure,2006,19.0
Albania,30,Settlements & Infrastructure,2007,69.0
Albania,30,Settlements & Infrastructure,2008,100.0
Albania,30,Settlements & Infrastructure,2009,41.0
Albania,30,Settlements & Infrastructure,2010,40.0
Albania,30,Settlements & Infrastructure,2011,34.0
Albania,30,Settlements & Infrastructure,2012,73.0
Albania,30,Settlements & Infrastructure,2013,54.0
Albania,30,Settlements & Infrastructure,2014,60.0
Albania,30,Settlements & Infrastructure,2015,21.0
Albania,30,Settlements & Infrastructure,2016,62.0
Albania,30,Settlements & Infrastructure,2017,86.0
Albania,30,Settlements & Infrastructure,2018,77.0
Albania,30,Settlements & Infrastructure,2019,58.0
Albania,30,Settlements & Infrastructure,2020,34.0
Albania,30,Settlements & Infrastructure,2021,45.0
Albania,30,Settlements & Infrastructure,2022,46.0
Albania,30,Settlements & Infrastructure,2023,46.0
Albania,30,Settlements & Infrastructure,2024,42.0
Albania,30,Wildfire,2001,2040.0
Albania,30,Wildfire,2002,279.0
Albania,30,Wildfire,2003,338.0
Albania,30,Wildfire,2004,1372.0
Albania,30,Wildfire,2005,261.0
Albania,30,Wildfire,2006,345.0
Albania,30,Wildfire,2007,3873.0
Albania,30,Wildfire,2008,3953.0
Albania,30,Wildfire,2009,516.0
Albania,30,Wildfire,2010,192.0
Albania,30,Wildfire,2011,745.0
Albania,30,Wildfire,2012,3709.0
Albania,30,Wildfire,2013,1909.0
Albania,30,Wildfire,2014,420.0
Albania,30,Wildfire,2015,62.0
Albania,30,Wildfire,2016,465.0
Albania,30,Wildfire,2017,1185.0
Albania,30,Wildfire,2018,1478.0
Albania,30,Wildfire,2019,467.0
Albania,30,Wildfire,2020,597.0
Albania,30,Wildfire,2021,1186.0
Albania,30,Wildfire,2022,1660.0
Albania,30,Wildfire,2023,1712.0
Albania,30,Wildfire,2024,552.0
Argentina,30,Hard commodities,2001,211.0
Argentina,30,Hard commodities,2002,291.0
Argentina,30,Hard commodities,2003,268.0
Argentina,30,Hard commodities,2004,216.0
Argentina,30,Hard commodities,2005,317.0
Argentina,30,Hard commodities,2006,319.0
Argentina,30,Hard commodities,2007,378.0
Argentina,30,Hard commodities,2008,825.0
Argentina,30,Hard commodities,2009,495.0
Argentina,30,Hard commodities,2010,522.0
Argentina,30,Hard commodities,2011,530.0
Argentina,30,Hard commodities,2012,333.0
Argentina,30,Hard commodities,2013,308.0
Argentina,30,Hard commodities,2014,280.0
Argentina,30,Hard commodities,2015,298.0
Argentina,30,Hard commodities,2016,372.0
Argentina,30,Hard commodities,2017,719.0
Argentina,30,Hard commodities,2018,589.0
Argentina,30,Hard commodities,2019,308.0
Argentina,30,Hard commodities,2020,324.0
Argentina,30,Hard commodities,2021,433.0
Argentina,30,Hard commodities,2022,367.0
Argentina,30,Hard commodities,2023,227.0
Argentina,30,Hard commodities,2024,277.0
Argentina,30,Logging,2001,27147.0
Argentina,30,Logging,2002,22547.0
Argentina,30,Logging,2003,28334.0
Argentina,30,Logging,2004,35923.0
Argentina,30,Logging,2005,39195.0
Argentina,30,Logging,2006,43790.0
Argentina,30,Logging,2007,43477.0
Argentina,30,Logging,2008,47923.0
Argentina,30,Logging,2009,28319.0
Argentina,30,Logging,2010,35440.0
Argentina,30,Logging,2011,42182.0
Argentina,30,Logging,2012,59166.0
Argentina,30,Logging,2013,41513.0
Argentina,30,Logging,2014,34692.0
Argentina,30,Logging,2015,25143.0
Argentina,30,Logging,2016,29938.0
Argentina,30,Logging,2017,31178.0
Argentina,30,Logging,2018,23193.0
Argentina,30,Logging,2019,22398.0
Argentina,30,Logging,2020,24000.0
Argentina,30,Logging,2021,24898.0
Argentina,30,Logging,2022,30862.0
Argentina,30,Logging,2023,26490.0
Argentina,30,Logging,2024,35667.0
Argentina,30,Other natural disturbances,2001,5163.0
Argentina,30,Other natural disturbances,2002,2586.0
Argentina,30,Other natural disturbances,2003,4322.0
Argentina,30,Other natural disturbances,2004,4765.0
Argentina,30,Other natural disturbances,2005,3723.0
Argentina,30,Other natural disturbances,2006,6225.0
Argentina,30,Other natural disturbances,2007,4231.0
Argentina,30,Other natural disturbances,2008,8980.0
Argentina,30,Other natural disturbances,2009,6801.0
Argentina,30,Other natural disturbances,2010,5996.0
Argentina,30,Other natural disturbances,2011,5609.0
Argentina,30,Other natural disturbances,2012,15154.0
Argentina,30,Other natural disturbances,2013,12776.0
Argentina,30,Other natural disturbances,2014,3842.0
Argentina,30,Other natural disturbances,2015,3067.0
Argentina,30,Other natural disturbances,2016,3247.0
Argentina,30,Other natural disturbances,2017,2963.0
Argentina,30,Other natural disturbances,2018,1203.0
Argentina,30,Other natural disturbances,2019,1882.0
Argentina,30,Other natural disturbances,2020,4219.0
Argentina,30,Other natural disturbances,2021,1355.0
Argentina,30,Other natural disturbances,2022,3129.0
Argentina,30,Other natural disturbances,2023,3067.0
Argentina,30,Other natural disturbances,2024,2514.0
Argentina,30,Permanent agriculture,2001,108123.0
Argentina,30,Permanent agriculture,2002,73429.0
Argentina,30,Permanent agriculture,2003,204182.0
Argentina,30,Permanent agriculture,2004,377615.0
Argentina,30,Permanent agriculture,2005,313450.0
Argentina,30,Permanent agriculture,2006,257052.0
Argentina,30,Permanent agriculture,2007,362889.0
Argentina,30,Permanent agriculture,2008,515571.0
Argentina,30,Permanent agriculture,2009,258675.0
Argentina,30,Permanent agriculture,2010,355586.0
Argentina,30,Permanent agriculture,2011,430721.0
Argentina,30,Permanent agriculture,2012,376391.0
Argentina,30,Permanent agriculture,2013,260303.0
Argentina,30,Permanent agriculture,2014,181915.0
Argentina,30,Permanent agriculture,2015,122854.0
Argentina,30,Permanent agriculture,2016,179648.0
Argentina,30,Permanent agriculture,2017,187039.0
Argentina,30,Permanent agriculture,2018,141517.0
Argentina,30,Permanent agriculture,2019,116132.0
Argentina,30,Permanent agriculture,2020,137498.0
Argentina,30,Permanent agriculture,2021,148226.0
Argentina,30,Permanent agriculture,2022,165674.0
Argentina,30,Permanent agriculture,2023,165793.0
Argentina,30,Permanent agriculture,2024,126418.0
Argentina,30,Settlements & Infrastructure,2001,1366.0
Argentina,30,Settlements & Infrastructure,2002,781.0
Argentina,30,Settlements & Infrastructure,2003,1578.0
Argentina,30,Settlements & Infrastructure,2004,1992.0
Argentina,30,Settlements & Infrastructure,2005,3062.0
Argentina,30,Settlements & Infrastructure,2006,1696.0
Argentina,30,Settlements & Infrastructure,2007,3589.0
Argentina,30,Settlements & Infrastructure,2008,4396.0
Argentina,30,Settlements & Infrastructure,2009,2191.0
Argentina,30,Settlements & Infrastructure,2010,3124.0
Argentina,30,Settlements & Infrastructure,2011,3050.0
Argentina,30,Settlements & Infrastructure,2012,2878.0
Argentina,30,Settlements & Infrastructure,2013,2626.0
Argentina,30,Settlements & Infrastructure,2014,2473.0
Argentina,30,Settlements & Infrastructure,2015,2344.0
Argentina,30,Settlements & Infrastructure,2016,2519.0
Argentina,30,Settlements & Infrastructure,2017,2344.0
Argentina,30,Settlements & Infrastructure,2018,1694.0
Argentina,30,Settlements & Infrastructure,2019,1174.0
Argentina,30,Settlements & Infrastructure,2020,1251.0
Argentina,30,Settlements & Infrastructure,2021,1133.0
Argentina,30,Settlements & Infrastructure,2022,1636.0
Argentina,30,Settlements & Infrastructure,2023,1227.0
Argentina,30,Settlements & Infrastructure,2024,851.0
Argentina,30,Shifting cultivation,2001,47.0
Argentina,30,Shifting cultivation,2002,29.0
Argentina,30,Shifting cultivation,2003,8.0
Argentina,30,Shifting cultivation,2004,20.0
Argentina,30,Shifting cultivation,2005,22.0
Argentina,30,Shifting cultivation,2006,28.0
Argentina,30,Shifting cultivation,2007,28.0
Argentina,30,Shifting cultivation,2008,55.0
Argentina,30,Shifting cultivation,2009,38.0
Argentina,30,Shifting cultivation,2010,29.0
Argentina,30,Shifting cultivation,2011,2.0
Argentina,30,Shifting cultivation,2012,31.0
Argentina,30,Shifting cultivation,2013,55.0
Argentina,30,Shifting cultivation,2014,13.0
Argentina,30,Shifting cultivation,2015,11.0
Argentina,30,Shifting cultivation,2016,14.0
Argentina,30,Shifting cultivation,2017,32.0
Argentina,30,Shifting cultivation,2018,18.0
Argentina,30,Shifting cultivation,2019,17.0
Argentina,30,Shifting cultivation,2020,505.0
Argentina,30,Shifting cultivation,2021,15.0
Argentina,30,Shifting cultivation,2022,26.0
Argentina,30,Shifting cultivation,2023,10.0
Argentina,30,Shifting cultivation,2024,33.0
Argentina,30,Wildfire,2001,3768.0
Argentina,30,Wildfire,2002,4168.0
Argentina,30,Wildfire,2003,9123.0
Argentina,30,Wildfire,2004,11071.0
Argentina,30,Wildfire,2005,6024.0
Argentina,30,Wildfire,2006,5546.0
Argentina,30,Wildfire,2007,9343.0
Argentina,30,Wildfire,2008,11807.0
Argentina,30,Wildfire,2009,11444.0
Argentina,30,Wildfire,2010,10992.0
Argentina,30,Wildfire,2011,15164.0
Argentina,30,Wildfire,2012,20155.0
Argentina,30,Wildfire,2013,57069.0
Argentina,30,Wildfire,2014,16371.0
Argentina,30,Wildfire,2015,25893.0
Argentina,30,Wildfire,2016,14026.0
