country,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,tc_loss_ha_2024
Djibouti,0,2237202,2237202,2237202,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,10,2237202,13,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,15,2237202,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,20,2237202,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,25,2237202,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,30,2237202,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,50,2237202,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,75,2237202,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,4809207,4809207,4809207,54804,11689,10969,11258,20261,25896,14409,16949,22453,14698,14669,13659,19293,17788,17906,18641,29063,33036,18234,19674,25971,18500,16750,29306,17705
Dominican Republic,10,4809207,2863300,2652868,54804,11415,10618,10903,19672,25362,13703,16322,21880,14179,14290,13196,18208,13814,14486,15821,25891,28464,14938,16067,22619,15124,14037,24435,13946
Dominican Republic,15,4809207,2771308,2601920,54804,11373,10572,10849,19603,25288,13624,16247,21811,14124,14239,13149,18132,13478,14230,15594,25580,27989,14639,15697,22238,14812,13751,23905,13640
Dominican Republic,20,4809207,2696056,2572869,54804,11330,10524,10805,19534,25227,13558,16186,21753,14077,14194,13097,18063,13199,14029,15408,25325,27626,14389,15409,21929,14574,13519,23539,13402
Dominican Republic,25,4809207,2642543,2517148,54804,11291,10482,10767,19467,25172,13503,16135,21698,14036,14157,13032,17994,12983,13874,15272,25145,27396,14223,15226,21730,14415,13364,23298,13235
Dominican Republic,30,4809207,2576438,2454740,54804,11247,10435,10714,19387,25088,13414,16059,21611,13968,14103,12960,17906,12703,13679,15091,24908,27063,13971,14931,21441,14181,13141,22948,12996
Dominican Republic,50,4809207,2236254,2040978,54804,10504,9642,9990,18250,24023,12296,14970,20371,13005,13205,12140,17002,11205,12502,13926,23421,25282,12603,13599,19755,12950,11625,20994,11702
Dominican Republic,75,4809207,1774355,1533798,54804,8475,7728,8309,15445,21056,10069,12658,17312,10832,11031,10084,14463,8234,9921,11452,20235,21471,9939,10760,16193,10366,9196,17594,9342
Ecuador,0,25633999,25633999,25633999,218738,45604,30144,14089,37947,41012,36115,61691,52474,58497,34142,44196,77598,56570,36073,32615,47765,75232,40895,37649,51505,32160,55271,47469,68686
Ecuador,10,25633999,19789998,20139295,218738,45294,29973,13952,37558,40645,35846,61012,52128,58030,33952,43808,74862,49742,31756,30568,44799,72052,39139,36082,49360,30633,53131,43829,63268
Ecuador,15,25633999,19557506,19900219,218738,45256,29951,13935,37514,40594,35811,60928,52090,57964,33926,43780,74731,49394,31528,30436,44585,71818,39011,35958,49231,30543,52965,43580,62889
Ecuador,20,25633999,19361067,19754403,218738,45188,29910,13910,37425,40528,35751,60809,52036,57877,33883,43736,74570,49043,31323,30324,44401,71612,38906,35869,49133,30485,52838,43375,62587
Ecuador,25,25633999,19217247,19500474,218738,45142,29882,13889,37365,40478,35710,60718,51996,57812,33860,43708,74461,48771,31156,30242,44272,71466,38845,35803,49066,30437,52753,43222,62380
Ecuador,30,25633999,19048768,19248315,218738,45079,29846,13867,37284,40401,35647,60590,51940,57715,33822,43672,74304,48419,30935,30122,44092,71259,38748,35714,48964,30368,52618,43010,62063
Ecuador,50,25633999,17934671,17357591,218738,44125,29252,13475,36077,39261,34830,58748,51100,56411,33314,43200,72693,46091,29532,29263,42605,69685,37886,34979,48132,29842,51671,41556,59799
Ecuador,75,25633999,15862084,15568553,218738,41061,27392,12551,32428,35649,32072,52475,47635,51981,31505,41438,67828,40639,26112,27154,39172,65705,35694,33000,45900,28439,49139,38282,54727
Egypt,0,98376626,98376626,98376626,4206,222,118,157,266,147,101,187,180,127,207,208,886,971,767,305,332,633,283,109,110,129,183,2916,2018
Egypt,10,98376626,952014,1091852,4206,217,112,151,255,139,96,174,170,119,199,195,679,279,298,104,153,211,154,58,53,66,41,389,269
Egypt,15,98376626,898310,997007,4206,202,99,130,222,117,83,155,157,112,184,176,654,259,279,96,141,198,150,53,51,63,39,317,233
Egypt,20,98376626,452595,314588,4206,170,67,83,144,74,54,106,107,76,131,129,554,170,195,56,75,111,112,35,35,39,25,91,81
Egypt,25,98376626,387157,195088,4206,166,64,78,135,68,50,100,99,72,124,124,535,152,181,51,63,99,105,32,31,35,22,74,65
Egypt,30,98376626,154304,143311,4206,147,49,60,102,52,39,79,81,60,98,103,440,97,115,31,37,58,62,21,19,18,12,36,31
Egypt,50,98376626,14628,21391,4206,96,25,39,43,27,19,42,51,34,48,57,219,6,9,4,7,7,9,5,1,4,1,8,3
Egypt,75,98376626,624,2291,4206,23,3,7,5,6,2,8,14,9,6,8,40,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,0,2042274,2042274,2042274,14647,9983,4945,6286,4790,6207,4855,3126,3479,4476,2994,3390,2724,2859,3134,3110,6550,5806,3350,2829,2667,1860,2048,2379,2184
El Salvador,10,2042274,1127095,1003531,14647,9672,4773,6097,4641,5982,4699,3034,3379,4351,2922,3295,2599,2212,2509,2543,5937,4981,2822,2372,2304,1557,1711,1918,1762
El Salvador,15,2042274,1092794,994255,14647,9629,4746,6074,4621,5959,4682,3023,3366,4336,2911,3283,2586,2177,2469,2509,5888,4929,2789,2341,2279,1542,1689,1889,1742
El Salvador,20,2042274,1052469,981799,14647,9576,4714,6036,4596,5930,4651,3008,3351,4316,2896,3265,2567,2129,2410,2463,5832,4859,2755,2303,2252,1521,1668,1851,1720
El Salvador,25,2042274,1024830,947738,14647,9540,4690,6009,4575,5906,4627,2999,3339,4301,2886,3256,2554,2101,2376,2433,5796,4816,2734,2281,2233,1507,1653,1825,1705
El Salvador,30,2042274,988821,921954,14647,9500,4666,5984,4555,5880,4605,2984,3324,4285,2873,3242,2536,2054,2320,2389,5743,4745,2704,2250,2209,1488,1632,1785,1680
El Salvador,50,2042274,801725,758044,14647,8602,4138,5321,4088,5344,4007,2683,3021,3905,2608,3008,2312,1718,1877,2052,5233,4165,2425,1986,2006,1336,1476,1572,1527
El Salvador,75,2042274,470778,547682,14647,4004,2480,2698,2575,3047,2352,1752,1839,2397,1622,1972,1500,945,934,1232,4080,2836,1746,1384,1502,974,1109,1109,1159
Equatorial Guinea,0,2695939,2695939,2695939,5168,3599,2994,1977,427,1618,1272,3211,4878,5724,6656,7770,4993,7370,19382,7516,9602,12012,7890,9584,4921,9006,7836,8586,7790
Equatorial Guinea,10,2695939,2667100,2658586,5168,3599,2994,1974,427,1617,1271,3210,4875,5722,6653,7767,4991,7355,19362,7510,9591,12000,7885,9575,4911,8973,7817,8577,7785
Equatorial Guinea,15,2695939,2664661,2652287,5168,3597,2993,1973,426,1616,1269,3203,4867,5719,6647,7755,4987,7349,19343,7505,9585,11990,7877,9567,4905,8968,7808,8569,7779
Equatorial Guinea,20,2695939,2659676,2641689,5168,3592,2991,1969,425,1613,1263,3178,4850,5708,6623,7737,4972,7324,19285,7490,9567,11965,7854,9550,4890,8945,7786,8550,7764
Equatorial Guinea,25,2695939,2658363,2638389,5168,3591,2991,1968,424,1612,1261,3169,4844,5704,6616,7730,4967,7317,19272,7485,9562,11959,7848,9545,4886,8938,7781,8545,7760
Equatorial Guinea,30,2695939,2654600,2630333,5168,3585,2986,1961,422,1609,1255,3142,4822,5685,6593,7706,4953,7290,19211,7469,9545,11938,7824,9527,4871,8906,7761,8525,7745
Equatorial Guinea,50,2695939,2633389,2572532,5168,3543,2958,1925,406,1589,1214,2984,4686,5584,6417,7515,4847,7171,18855,7345,9425,11791,7686,9375,4755,8720,7651,8377,7613
Equatorial Guinea,75,2695939,2447623,2056855,5168,3188,2631,1696,315,1326,979,2230,3706,4620,5020,6170,3940,5902,15249,6202,7857,9794,6316,7526,3742,6839,6389,6676,6037
Eritrea,0,12045735,12045735,12045735,10677,7,4,1,3,1,1,5,2,1,2,5,16,19,8,2,2,8,0,1,1,3,6,185,2
Eritrea,10,12045735,1421,6207,10677,4,2,0,1,0,0,3,1,1,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0
Eritrea,15,12045735,445,1615,10677,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,20,12045735,28,154,10677,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,25,12045735,11,60,10677,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,30,12045735,5,43,10677,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,50,12045735,2,1,10677,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,75,12045735,2,0,10677,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,0,4548947,4548947,4548947,165131,16912,21960,5644,18150,14868,21830,16233,18334,18872,21541,27235,17764,17430,24047,25860,37304,40005,41113,47117,38217,35312,40712,38303,36080
Estonia,10,4548947,2780305,2906492,165131,16898,21938,5638,18125,14844,21791,16207,18314,18845,21515,27213,17701,17195,23705,25530,36590,39154,40317,46206,37141,34321,39527,36598,35165
Estonia,15,4548947,2722499,2829522,165131,16889,21929,5636,18118,14833,21765,16197,18307,18834,21506,27206,17696,17156,23657,25490,36499,39044,40214,46108,37020,34202,39421,36433,35072
Estonia,20,4548947,2695253,2811911,165131,16883,21925,5634,18113,14826,21750,16194,18303,18829,21501,27202,17693,17134,23636,25469,36448,38986,40162,46056,36962,34141,39366,36362,35020
Estonia,25,4548947,2670718,2775179,165131,16880,21922,5633,18109,14823,21743,16191,18299,18826,21498,27200,17689,17115,23611,25447,36400,38929,40105,45997,36898,34082,39297,36262,34969
Estonia,30,4548947,2639421,2725535,165131,16873,21919,5632,18106,14819,21731,16188,18297,18822,21496,27199,17685,17088,23576,25420,36335,38857,40038,45917,36805,34004,39216,36156,34899
Estonia,50,4548947,2465461,2503968,165131,16743,21809,5610,18016,14733,21504,16110,18224,18699,21418,27136,17632,16881,23271,25130,35751,38258,39436,45248,36093,33484,38596,35484,34365
Estonia,75,4548947,1956968,1913645,165131,15465,19978,5299,16976,13699,19789,15221,17352,17554,20456,26002,17025,15321,21077,22827,31999,34288,35189,40516,31822,29825,34551,31770,30616
Ethiopia,0,112902124,112902124,112902124,403581,14569,17489,16984,17493,21000,14991,31944,31492,34690,25711,19239,50101,49994,56501,20177,37643,55491,32441,41701,35828,44021,48772,119336,94711
Ethiopia,10,112902124,31135078,35761342,403581,14426,17272,16901,17316,20833,14873,31739,31231,34558,25569,18998,49061,45446,49479,16840,33111,49510,27662,34963,28004,34174,35693,103596,84015
Ethiopia,15,112902124,25291733,28550738,403581,14066,16588,16479,16611,20054,14519,30800,30383,33968,25058,18576,48048,42979,46315,15504,30890,46738,25830,32932,25728,30857,31595,92877,75599
Ethiopia,20,112902124,16513115,17745064,403581,13002,14596,15071,14719,17706,13267,27713,27122,31571,22571,16982,44503,36036,38525,12433,24452,39946,21522,28443,20991,24041,24289,56860,47024
Ethiopia,25,112902124,15478476,16674698,403581,12799,14291,14809,14455,17332,13040,27246,26441,31108,22053,16631,43951,35020,37392,11920,23270,39066,20972,27882,20419,23140,23238,51052,42136
Ethiopia,30,112902124,12040337,12361079,403581,11947,13075,13937,13396,15868,12077,25609,24009,29278,20184,15463,41633,30851,32725,10277,19582,35404,18894,25583,17980,19752,19941,36263,27943
Ethiopia,50,112902124,5425721,5926137,403581,8207,7777,10481,9096,9446,7899,18898,14044,18016,12802,10448,27749,17317,17521,5625,9429,22277,11359,17930,10763,10410,10355,20846,12740
Ethiopia,75,112902124,2039861,1695051,403581,3680,3183,5158,3619,3365,3827,10042,6530,7412,6350,5204,10753,7448,6589,1975,3813,9763,4974,9528,5393,5123,4438,13343,6953
Faroe Islands,0,143971,143971,143971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,10,143971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,15,143971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,20,143971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,25,143971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,30,143971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,50,143971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,75,143971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,1808214,1808214,1808214,5410,1107,709,1579,2090,1673,1880,2153,2398,1798,2356,555,1299,2983,4301,2136,9641,3520,1542,1679,2273,7880,1109,958,1319
Fiji,10,1808214,1650548,1501370,5410,1105,707,1578,2085,1670,1877,2151,2395,1795,2352,554,1260,2806,3904,1925,8746,3310,1422,1517,2159,7530,1049,875,1168
Fiji,15,1808214,1644657,1495753,5410,1104,706,1578,2085,1670,1877,2151,2393,1795,2352,554,1258,2799,3894,1917,8716,3300,1416,1515,2156,7506,1047,869,1160
Fiji,20,1808214,1595101,1461614,5410,1100,704,1574,2082,1667,1876,2149,2389,1792,2349,554,1237,2748,3780,1866,8507,3184,1395,1484,2108,7327,1014,825,1118
Fiji,25,1808214,1576606,1441161,5410,1098,704,1574,2080,1666,1876,2148,2389,1792,2348,552,1231,2727,3748,1857,8455,3153,1385,1474,2096,7281,1006,813,1103
Fiji,30,1808214,1556562,1418745,5410,1098,703,1572,2080,1666,1875,2148,2387,1791,2347,552,1220,2699,3688,1838,8373,3092,1367,1455,2067,7199,989,788,1080
Fiji,50,1808214,1395345,1291540,5410,1079,695,1558,2058,1649,1858,2126,2355,1771,2327,544,1130,2533,3252,1702,7845,2687,1231,1320,1850,6635,885,639,857
Fiji,75,1808214,1215703,1129309,5410,980,640,1414,1867,1528,1745,1965,2101,1623,2142,472,920,2200,2425,1451,6746,2238,1003,1080,1569,5902,741,512,573
Finland,0,33693913,33693913,33693913,1357022,151676,143018,90124,147182,231423,183114,152484,201075,177336,168206,160123,161597,151533,190528,175929,246709,349652,277579,297915,264033,275870,265913,252449,244341
Finland,10,33693913,22796066,24482391,1357022,151452,142844,89982,147000,230991,182805,152262,200717,176922,167897,159751,160727,149542,187811,173640,242337,339758,272441,292223,257113,269316,258084,244506,236335
Finland,15,33693913,22256213,23784173,1357022,151213,142657,89858,146828,230693,182582,152094,200443,176639,167703,159554,160518,149147,187297,173224,241491,338347,271334,291191,256001,268296,256964,243388,235227
Finland,20,33693913,22134169,23652483,1357022,151111,142533,89780,146717,230519,182443,152007,200328,176501,167613,159465,160462,149045,187145,173097,241259,337887,271027,290896,255636,267971,256585,243005,234857
Finland,25,33693913,21939050,23314681,1357022,151071,142498,89749,146674,230445,182385,151972,200261,176424,167565,159422,160404,148892,186936,172909,240911,337255,270521,290457,255110,267489,256054,242462,234322
Finland,30,33693913,21627651,22817318,1357022,151003,142433,89697,146603,230333,182294,151915,200193,176321,167507,159354,160311,148661,186629,172639,240428,336198,269954,289911,254473,266899,255378,241781,233618
Finland,50,33693913,18308144,19670293,1357022,149079,140349,88245,144132,226725,179241,150142,197948,173231,165944,157723,158421,144301,180767,167547,230799,322523,259746,279589,244270,257024,245441,232140,223970
Finland,75,33693913,10425931,12261869,1357022,133238,123983,78208,129989,205905,162033,139812,183683,155257,154910,145798,145008,105564,129164,120912,158704,222935,182495,193871,166180,178453,171394,164539,156215
France,0,54951533,54951533,54951533,695648,36094,35224,28048,79269,48533,57322,50906,89474,68943,145201,65549,69533,35120,49409,41821,70409,80879,79405,92627,87269,124766,70670,100940,90508
France,10,54951533,18354638,18292384,695648,35085,34513,27051,77582,47258,55973,49926,87908,67810,144072,64615,68039,31418,45750,38634,63947,73091,71966,84052,79972,116009,61947,89694,81697
France,15,54951533,17831169,17605333,695648,34772,34220,26773,76885,46876,55558,49609,87485,67502,143722,64388,67770,31176,45429,38320,63168,72181,71279,83356,79393,115220,61123,88728,81005
France,20,54951533,17581725,17472316,695648,34621,34084,26638,76585,46692,55358,49457,87255,67312,143523,64273,67627,30961,45146,38031,62597,71483,70716,82790,78944,114606,60492,88031,80470
France,25,54951533,17254573,17191747,695648,34515,33981,26505,76343,46538,55176,49340,87078,67157,143378,64161,67480,30725,44829,37744,61823,70583,70105,82179,78465,113948,59766,87310,79931
France,30,54951533,16783020,16838139,695648,34421,33889,26393,76134,46392,55050,49247,86955,67054,143266,64075,67303,30352,44360,37293,60769,69249,69202,81305,77746,112885,58786,86279,79147
France,50,54951533,15270417,14862862,695648,32048,31569,23979,71059,43583,52110,47069,84069,64545,140179,62469,65152,28221,41367,34554,55263,62874,63994,76302,73700,107793,54115,81022,75044
France,75,54951533,11568533,11045400,695648,24963,24698,18079,56431,34663,42610,39611,72457,53941,121993,54690,57358,22627,33076,26857,42155,48267,50160,61043,60857,90302,42810,64777,60643
French Guiana,0,8330102,8330102,8330102,10103,3040,2501,1894,4817,2849,2541,3337,5235,2865,3210,2713,9802,3027,4370,3019,6378,4430,3905,3410,4510,2326,3976,5634,4932
French Guiana,10,8330102,8170481,8170413,10103,3035,2499,1890,4810,2843,2537,3332,5227,2863,3207,2710,9779,2979,4223,2883,6170,4185,3758,3310,4304,2213,3853,5125,4538
French Guiana,15,8330102,8168551,8168837,10103,3034,2498,1890,4808,2843,2536,3331,5226,2863,3207,2710,9776,2974,4216,2880,6161,4176,3755,3308,4300,2211,3850,5106,4528
French Guiana,20,8330102,8166632,8166488,10103,3034,2498,1890,4805,2843,2536,3330,5226,2863,3206,2710,9775,2972,4209,2878,6152,4167,3751,3306,4297,2210,3848,5090,4517
French Guiana,25,8330102,8164374,8163515,10103,3034,2498,1890,4805,2842,2536,3329,5224,2862,3206,2710,9774,2969,4201,2872,6136,4151,3743,3302,4293,2207,3843,5056,4506
French Guiana,30,8330102,8162754,8157816,10103,3033,2497,1889,4804,2841,2535,3329,5223,2862,3205,2710,9773,2968,4195,2868,6127,4146,3738,3299,4288,2205,3840,5044,4493
French Guiana,50,8330102,8153384,8120126,10103,3022,2489,1884,4788,2827,2529,3317,5209,2857,3199,2707,9758,2952,4157,2840,6063,4095,3708,3281,4266,2195,3821,4957,4442
French Guiana,75,8330102,8131838,8058194,10103,2986,2460,1864,4729,2787,2502,3279,5154,2836,3173,2694,9698,2919,4070,2780,5908,3977,3638,3235,4208,2170,3767,4812,4298
Gabon,0,26454960,26454960,26454960,50030,15348,14068,16989,10195,18002,20085,17097,18085,18536,10948,18725,18003,46469,49971,25835,32418,39170,27114,28909,22357,18579,30063,20067,29995
Gabon,10,26454960,25910325,25889060,50030,15343,14061,16983,10193,17991,20072,17082,18070,18524,10942,18705,17982,46374,49906,25816,32401,39142,27077,28878,22330,18556,30005,20038,29952
Gabon,15,26454960,25573895,25506082,50030,15321,14035,16969,10181,17957,20024,16986,17998,18427,10904,18660,17923,46261,49829,25787,32377,39105,27049,28848,22303,18525,29957,20002,29909
Gabon,20,26454960,25062619,25027186,50030,15201,13974,16923,10120,17837,19802,16764,17773,18339,10809,18475,17750,45547,49400,25663,32291,38907,26938,28712,22185,18432,29697,19865,29557
Gabon,25,26454960,24969602,24934234,50030,15174,13951,16910,10095,17805,19706,16711,17693,18321,10778,18411,17690,45329,49275,25625,32267,38843,26909,28680,22156,18408,29638,19832,29459
Gabon,30,26454960,24690954,24699912,50030,15083,13852,16846,9983,17699,19300,16501,17367,18253,10676,18160,17476,44448,48752,25472,32151,38644,26787,28561,22022,18317,29455,19706,29130
Gabon,50,26454960,24158383,23913948,50030,14514,13338,16463,9497,17188,17539,15595,16049,17844,10271,17069,16489,42163,47100,24889,31303,37803,26178,27961,21363,17835,28421,19062,28125
Gabon,75,26454960,23070286,21072633,50030,12264,11489,14370,8151,14893,13774,13028,12753,15906,8622,13641,13346,35029,40256,21817,27386,32676,21806,23623,17383,14930,23311,15710,23274
Gambia,0,1067022,1067022,1067022,15326,612,3096,239,729,941,348,958,1570,704,749,424,729,1720,1850,628,309,798,490,464,357,622,502,783,1071
Gambia,10,1067022,453832,399107,15326,595,3009,235,714,902,330,930,1549,647,719,414,665,1464,1538,492,298,768,436,443,344,528,485,672,942
Gambia,15,1067022,192776,199137,15326,269,988,97,470,205,117,469,1234,269,364,273,476,878,1099,413,262,636,394,404,299,430,422,488,561
Gambia,20,1067022,30465,33339,15326,20,122,28,141,19,18,134,563,45,81,89,119,143,225,141,76,168,143,206,142,148,175,153,159
Gambia,25,1067022,20789,26552,15326,12,91,23,113,12,16,113,498,27,61,71,95,95,145,110,51,113,95,155,104,110,136,109,116
Gambia,30,1067022,4563,3885,15326,3,41,11,63,5,7,49,298,9,24,30,41,12,17,10,5,8,6,21,10,18,17,12,16
Gambia,50,1067022,36,82,15326,0,1,0,2,1,1,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gambia,75,1067022,1,2,15326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,6984453,6984453,6984453,93537,686,551,301,2048,585,565,1062,783,482,897,566,540,388,153,45,664,270,342,183,246,445,328,942,658
Georgia,10,6984453,3369285,3200397,93537,672,541,295,1991,557,539,1005,756,457,838,546,488,268,124,43,546,222,308,170,230,427,302,822,538
Georgia,15,6984453,3289878,3113852,93537,669,538,293,1981,554,535,999,752,454,830,543,482,263,121,43,538,218,306,168,227,425,298,808,529
Georgia,20,6984453,3253558,3085467,93537,668,538,292,1976,551,534,995,748,451,825,541,479,260,119,43,535,216,304,168,225,423,296,802,524
Georgia,25,6984453,3216328,3039926,93537,667,537,292,1972,550,533,993,747,449,822,540,476,258,117,43,532,212,303,168,224,422,293,796,519
Georgia,30,6984453,3144570,2989946,93537,666,537,291,1968,549,531,992,745,448,819,540,473,252,114,42,523,209,300,166,222,420,290,785,509
Georgia,50,6984453,2956336,2734582,93537,646,519,286,1907,524,510,957,728,429,769,522,445,229,102,42,500,193,287,159,214,411,275,758,478
Georgia,75,6984453,2500617,1865017,93537,526,455,254,1685,441,442,830,663,358,599,467,379,162,72,32,415,150,245,138,183,372,232,668,398
Germany,0,35782315,35782315,35782315,342751,15658,15746,6641,45723,40364,43332,93861,62540,29234,76336,34693,26829,17425,23256,13546,29145,35259,54533,111202,190329,205617,89367,126718,93224
Germany,10,35782315,13445306,13691660,342751,15409,15447,6507,45191,39939,42860,93452,61976,28918,75900,34396,26176,15830,21547,13065,27286,33522,52863,109102,187738,203218,87155,123880,90558
Germany,15,35782315,13058350,13237144,342751,15355,15383,6482,45079,39853,42766,93342,61839,28835,75805,34336,26107,15720,21424,13016,27159,33350,52659,108816,187471,202898,86919,123573,90285
Germany,20,35782315,12915075,13168201,342751,15324,15351,6471,45019,39797,42710,93284,61766,28798,75746,34309,26065,15660,21358,12992,27076,33242,52519,108640,187330,202727,86774,123384,90098
Germany,25,35782315,12729266,12990782,342751,15303,15331,6461,44982,39767,42676,93249,61728,28778,75711,34290,26041,15595,21285,12965,26990,33145,52403,108477,187177,202551,86640,123203,89943
Germany,30,35782315,12526018,12780607,342751,15286,15305,6448,44939,39738,42652,93220,61694,28762,75677,34272,26008,15498,21169,12929,26877,32999,52239,108233,186938,202276,86450,122936,89727
Germany,50,35782315,11706414,11645052,342751,14844,14782,6240,43939,39088,41987,92220,60672,28293,74857,33832,25537,14842,20343,12604,26032,31955,51052,106353,185000,200148,84995,120946,88211
Germany,75,35782315,9189024,8732563,342751,12895,12836,5401,38103,34631,37314,85971,55029,25535,68677,30810,23002,11620,15875,10395,21683,26573,44138,93582,169520,185628,76156,107899,78742
Ghana,0,23947397,23947397,23947397,312663,53929,85067,30413,21788,51315,36268,55211,51676,55260,28368,47691,45270,139535,169203,80774,151289,176673,190162,113756,171978,124307,145410,149776,153081
Ghana,10,23947397,18367383,17332916,312663,53853,84987,30347,21656,51136,36017,54941,51383,55019,28115,47510,44886,134447,166569,80032,150951,176087,189827,113553,171620,124023,145045,148276,152141
Ghana,15,23947397,13309055,13650287,312663,52329,83807,29583,20240,48843,32803,51133,47592,50654,26537,45192,42637,111142,150948,75069,147994,166661,187990,111686,168885,122125,142974,143736,148023
Ghana,20,23947397,8247477,9060328,312663,47311,80663,27242,18396,44366,28916,43991,41699,41432,22744,39208,39340,88701,129265,63465,131575,133323,167450,98772,150813,111331,130027,125040,124318
Ghana,25,23947397,7935305,8553537,312663,46339,80135,26745,18183,43672,28443,43035,40756,40524,22031,38462,38736,87170,127579,62209,129372,129584,164372,96763,148121,109474,127879,122586,121139
Ghana,30,23947397,6968887,7050022,312663,43676,78393,24946,17628,41339,27143,40184,37826,38256,19476,36202,36630,81203,120207,57391,119243,115332,151531,88265,136614,101413,118644,112581,107918
Ghana,50,23947397,4259580,3617080,312663,34048,66575,19504,14894,33579,21842,32277,27704,31566,13990,28055,27579,54222,78878,36700,71838,61760,88544,50489,81997,59680,71473,65653,60464
Ghana,75,23947397,207425,169270,312663,8072,10577,3409,2224,4977,3207,4776,3949,4253,1962,3252,2677,816,938,611,2156,1019,1363,635,2177,1355,2350,1646,1630
Greece,0,13257898,13257898,13257898,71539,13843,5669,2996,7941,4937,8780,52918,23794,7744,9595,7402,16461,9871,6028,5543,9274,15763,11648,11750,8746,65097,17627,78109,27272
Greece,10,13257898,4767664,4236139,71539,13337,5354,2730,7222,4468,7839,48707,22123,6935,8374,6639,15002,8111,4694,4645,7624,11793,9057,9474,6604,56175,12638,59748,16694
Greece,15,13257898,4430576,3937463,71539,13001,5257,2670,7058,4361,7650,47741,21769,6772,8103,6515,14677,7777,4562,4540,7356,11312,8757,9169,6404,55191,11968,56872,15644
Greece,20,13257898,4303638,3883294,71539,12899,5215,2635,6956,4306,7524,47284,21558,6679,7978,6448,14376,7447,4420,4424,7131,10850,8456,8850,6223,54070,11613,54986,15005
Greece,25,13257898,3982933,3778041,71539,12828,5166,2590,6860,4234,7392,46396,21343,6606,7873,6309,13864,6624,4156,4142,6592,9972,7818,8195,5812,51875,10733,50417,13609
Greece,30,13257898,3672609,3620472,71539,12617,5126,2562,6815,4182,7346,46064,21199,6564,7788,6200,13242,5907,3803,3840,6035,8909,7122,7605,5427,49039,9794,46011,12512
